imputation,resampling,model,cv_auc_pr,test_auc_pr,test_auc_roc,test_f1,test_recall,test_precision,best_params
median_noflag,none,Logistic Regression,0.1933,0.2683,0.8438,0.2360,0.8000,0.1384,"{'model__penalty': 'l1', 'model__class_weight': 'balanced', 'model__C': 10}"
median_noflag,none,SVM (RBF),0.2068,0.2805,0.8422,0.2291,0.8200,0.1331,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
median_noflag,none,Random Forest,0.1991,0.2369,0.8396,0.0000,0.0000,0.0000,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
median_noflag,none,XGBoost,0.2091,0.2259,0.8260,0.2909,0.4800,0.2087,"{'model__subsample': 0.7, 'model__scale_pos_weight': 20, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}"
median_noflag,smote,Logistic Regression,0.1928,0.2785,0.8433,0.2367,0.8000,0.1389,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
median_noflag,smote,SVM (RBF),0.1946,0.2745,0.8425,0.2284,0.8200,0.1327,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 10}"
median_noflag,smote,Random Forest,0.1539,0.2076,0.8191,0.2156,0.8000,0.1246,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
median_noflag,smote,XGBoost,0.1581,0.2239,0.8438,0.2291,0.8200,0.1331,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
median_noflag,adasyn,Logistic Regression,0.1910,0.2832,0.8440,0.2353,0.8000,0.1379,"{'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 100}"
median_noflag,adasyn,SVM (RBF),0.1899,0.2746,0.8425,0.2198,0.8000,0.1274,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 10}"
median_noflag,adasyn,Random Forest,0.1490,0.1890,0.8131,0.1970,0.7800,0.1127,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}"
median_noflag,adasyn,XGBoost,0.1577,0.2278,0.8400,0.2235,0.8000,0.1299,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
median_noflag,undersample,Logistic Regression,0.1966,0.3000,0.8426,0.2323,0.8200,0.1353,"{'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 1}"
median_noflag,undersample,SVM (RBF),0.1939,0.2724,0.8396,0.2127,0.8400,0.1217,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 10}"
median_noflag,undersample,Random Forest,0.1808,0.2257,0.8264,0.2000,0.8200,0.1139,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': None}"
median_noflag,undersample,XGBoost,0.1952,0.2415,0.8337,0.1907,0.8200,0.1079,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
median_noflag,smoteenn,Logistic Regression,0.1953,0.2626,0.8422,0.2234,0.8400,0.1288,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
median_noflag,smoteenn,SVM (RBF),0.1952,0.2623,0.8416,0.2240,0.8200,0.1297,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 10}"
median_noflag,smoteenn,Random Forest,0.1576,0.1935,0.8217,0.2116,0.8000,0.1220,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}"
median_noflag,smoteenn,XGBoost,0.1696,0.2362,0.8453,0.2105,0.8400,0.1203,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
median_flag,none,Logistic Regression,0.2295,0.2572,0.8430,0.0392,0.0200,1.0000,"{'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 100}"
median_flag,none,SVM (RBF),0.2276,0.2011,0.8321,0.2216,0.7600,0.1297,"{'model__gamma': 'auto', 'model__class_weight': 'balanced', 'model__C': 1}"
median_flag,none,Random Forest,0.2639,0.2150,0.8380,0.0000,0.0000,0.0000,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
median_flag,none,XGBoost,0.2444,0.2362,0.8431,0.0000,0.0000,0.0000,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
median_flag,smote,Logistic Regression,0.2292,0.2721,0.8430,0.2364,0.7800,0.1393,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
median_flag,smote,SVM (RBF),0.2230,0.2730,0.8479,0.2328,0.7800,0.1368,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
median_flag,smote,Random Forest,0.2259,0.1840,0.8053,0.2189,0.7400,0.1285,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}"
median_flag,smote,XGBoost,0.2286,0.2181,0.8335,0.2335,0.7800,0.1373,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
median_flag,adasyn,Logistic Regression,0.2295,0.2737,0.8428,0.2349,0.7800,0.1383,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
median_flag,adasyn,SVM (RBF),0.2243,0.2685,0.8477,0.2274,0.7800,0.1331,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
median_flag,adasyn,Random Forest,0.2230,0.1865,0.8095,0.2090,0.7400,0.1217,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}"
median_flag,adasyn,XGBoost,0.2432,0.2169,0.8335,0.2316,0.8200,0.1349,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
median_flag,undersample,Logistic Regression,0.2234,0.2895,0.8430,0.2303,0.7600,0.1357,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 10}"
median_flag,undersample,SVM (RBF),0.2179,0.2820,0.8390,0.2174,0.8000,0.1258,"{'model__gamma': 'auto', 'model__class_weight': 'balanced', 'model__C': 1}"
median_flag,undersample,Random Forest,0.2042,0.2391,0.8249,0.2067,0.8000,0.1187,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}"
median_flag,undersample,XGBoost,0.2198,0.2485,0.8365,0.1907,0.8200,0.1079,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
median_flag,smoteenn,Logistic Regression,0.2211,0.2634,0.8431,0.2332,0.8000,0.1365,"{'model__penalty': 'l1', 'model__class_weight': 'balanced', 'model__C': 10}"
median_flag,smoteenn,SVM (RBF),0.2188,0.2765,0.8444,0.2305,0.8000,0.1347,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
median_flag,smoteenn,Random Forest,0.1973,0.2008,0.8188,0.2143,0.7800,0.1242,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}"
median_flag,smoteenn,XGBoost,0.2514,0.2294,0.8449,0.2132,0.8400,0.1221,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
knn,none,Logistic Regression,0.2284,0.2588,0.8425,0.0392,0.0200,1.0000,"{'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 100}"
knn,none,SVM (RBF),0.2291,0.2117,0.8278,0.2197,0.7600,0.1284,"{'model__gamma': 'auto', 'model__class_weight': 'balanced', 'model__C': 1}"
knn,none,Random Forest,0.2569,0.2260,0.8378,0.0000,0.0000,0.0000,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
knn,none,XGBoost,0.2485,0.2388,0.8437,0.0000,0.0000,0.0000,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
knn,smote,Logistic Regression,0.2292,0.2732,0.8432,0.2388,0.8000,0.1404,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
knn,smote,SVM (RBF),0.2236,0.2823,0.8476,0.2301,0.7800,0.1349,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
knn,smote,Random Forest,0.2162,0.1846,0.8085,0.2216,0.7400,0.1303,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}"
knn,smote,XGBoost,0.2405,0.2187,0.8320,0.2328,0.7800,0.1368,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
knn,adasyn,Logistic Regression,0.2286,0.2764,0.8428,0.2342,0.7800,0.1378,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
knn,adasyn,SVM (RBF),0.2196,0.2790,0.8472,0.2274,0.7800,0.1331,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
knn,adasyn,Random Forest,0.2170,0.1788,0.8074,0.2111,0.7200,0.1237,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
knn,adasyn,XGBoost,0.2476,0.2170,0.8299,0.2356,0.8200,0.1376,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
knn,undersample,Logistic Regression,0.2222,0.2891,0.8420,0.2310,0.7600,0.1362,"{'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 100}"
knn,undersample,SVM (RBF),0.2152,0.2763,0.8373,0.2180,0.8000,0.1262,"{'model__gamma': 'auto', 'model__class_weight': 'balanced', 'model__C': 1}"
knn,undersample,Random Forest,0.2038,0.2419,0.8316,0.2087,0.8200,0.1195,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}"
knn,undersample,XGBoost,0.2244,0.2553,0.8357,0.1898,0.8200,0.1073,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
knn,smoteenn,Logistic Regression,0.2219,0.2697,0.8436,0.2312,0.8000,0.1351,"{'model__penalty': 'l1', 'model__class_weight': 'balanced', 'model__C': 10}"
knn,smoteenn,SVM (RBF),0.2159,0.2705,0.8446,0.2286,0.8000,0.1333,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
knn,smoteenn,Random Forest,0.2029,0.1934,0.8230,0.2259,0.8200,0.1310,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}"
knn,smoteenn,XGBoost,0.2470,0.2335,0.8464,0.2154,0.8400,0.1235,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
iterative,none,Logistic Regression,0.2293,0.2577,0.8431,0.0392,0.0200,1.0000,"{'model__penalty': 'l2', 'model__class_weight': None, 'model__C': 100}"
iterative,none,SVM (RBF),0.2311,0.2159,0.8309,0.2190,0.7600,0.1279,"{'model__gamma': 'auto', 'model__class_weight': 'balanced', 'model__C': 1}"
iterative,none,Random Forest,0.2561,0.2297,0.8352,0.0000,0.0000,0.0000,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
iterative,none,XGBoost,0.2528,0.2663,0.8407,0.2800,0.2800,0.2800,"{'model__subsample': 1.0, 'model__scale_pos_weight': 10, 'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}"
iterative,smote,Logistic Regression,0.2294,0.2664,0.8428,0.2402,0.8000,0.1413,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
iterative,smote,SVM (RBF),0.2217,0.2624,0.8475,0.2315,0.7800,0.1359,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
iterative,smote,Random Forest,0.2145,0.1794,0.8084,0.2176,0.7400,0.1276,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
iterative,smote,XGBoost,0.2382,0.2017,0.8334,0.2384,0.8200,0.1395,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
iterative,adasyn,Logistic Regression,0.2281,0.2665,0.8429,0.2321,0.7800,0.1364,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 0.1}"
iterative,adasyn,SVM (RBF),0.2196,0.2570,0.8477,0.2261,0.7800,0.1322,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
iterative,adasyn,Random Forest,0.2155,0.1813,0.8065,0.2056,0.7400,0.1194,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': None}"
iterative,adasyn,XGBoost,0.2391,0.2086,0.8327,0.2343,0.8200,0.1367,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
iterative,undersample,Logistic Regression,0.2238,0.2891,0.8423,0.2310,0.7600,0.1362,"{'model__penalty': 'l1', 'model__class_weight': None, 'model__C': 10}"
iterative,undersample,SVM (RBF),0.2157,0.2736,0.8395,0.2162,0.8000,0.1250,"{'model__gamma': 'auto', 'model__class_weight': 'balanced', 'model__C': 1}"
iterative,undersample,Random Forest,0.2082,0.2175,0.8183,0.1995,0.8000,0.1140,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': None}"
iterative,undersample,XGBoost,0.2148,0.2451,0.8316,0.1894,0.8200,0.1070,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
iterative,smoteenn,Logistic Regression,0.2235,0.2616,0.8430,0.2326,0.8000,0.1361,"{'model__penalty': 'l1', 'model__class_weight': 'balanced', 'model__C': 10}"
iterative,smoteenn,SVM (RBF),0.2172,0.2693,0.8449,0.2299,0.8000,0.1342,"{'model__gamma': 0.001, 'model__class_weight': 'balanced', 'model__C': 100}"
iterative,smoteenn,Random Forest,0.2057,0.2196,0.8220,0.2159,0.7600,0.1258,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__class_weight': 'balanced_subsample'}"
iterative,smoteenn,XGBoost,0.2502,0.2180,0.8443,0.2095,0.8400,0.1197,"{'model__subsample': 1.0, 'model__scale_pos_weight': 1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}"
